# Paste VBA tblRatings data below
# Format expected: PlayerID, WeekNo, Rating (or whatever columns are in tblRatings)
# 
# This will help debug the rating calculation differences
#
# Also paste tblPlayerResult if available - it contains:
# PlayerResultID, FrameNo, WeekNo, MatchNo, PlayerID, Played (opponent), Result, EightBall
#

--- PASTE tblRatings DATA BELOW ---


--- PASTE tblPlayerResult DATA BELOW (if available) ---


ID	WeekNo	PlayerID	Rating
196	3	3	889
197	3	4	887
198	3	5	1014
199	3	6	1114
200	3	7	1126
201	3	9	1039
202	3	10	924
203	3	11	1222
204	3	12	1055
205	3	13	1069
206	3	14	842
207	3	15	910
208	3	16	956
209	3	17	916
210	3	18	797
211	3	19	1030
212	3	20	1113
213	3	21	908
214	3	22	950
215	3	23	881
216	3	24	800
217	3	26	1124
218	3	27	1068
219	3	28	1067
220	3	29	1185
221	3	30	1079
222	3	31	1163
223	3	32	1076
224	3	33	799
225	3	34	714
226	3	35	1292
227	3	37	972
228	3	38	1188
229	3	39	1010
230	3	40	1038
231	3	41	1285
232	3	42	953
233	3	43	964
234	3	44	1062
235	3	45	999
236	3	46	1040
237	3	48	674
238	3	49	1048
239	3	51	1038
240	3	53	1000
241	3	54	1337
242	3	58	949
243	3	59	1103
244	3	60	1144
245	3	61	1134
246	3	62	1085
247	3	63	1059
248	3	65	1086
249	3	66	912
250	3	67	1189
251	3	68	1230
252	3	72	1077
253	3	73	973
254	3	75	934
255	3	77	809
256	3	78	918
257	3	80	1134
258	3	81	1090
259	3	83	1014
260	3	85	1076
261	3	86	1187
262	3	87	743
263	3	88	1297
264	3	89	1065
265	3	90	843
266	3	93	1285
267	3	95	968
268	3	96	842
269	3	97	1093
270	3	98	907
271	3	99	1193
272	3	100	844
273	3	101	1233
274	3	102	900
275	3	103	876
276	3	104	929
277	3	105	1080
278	3	106	777
279	3	107	774
280	3	108	1015
281	4	0	1044
282	4	1	1084
283	4	2	926
284	4	3	781
285	4	4	941
286	4	5	1003
287	4	6	1079
288	4	7	1076
289	4	8	992
290	4	9	1024
291	4	10	933
292	4	11	1113
293	4	12	989
294	4	13	978
295	4	14	886
296	4	15	1140
297	4	16	1099
298	4	17	921
299	4	18	842
300	4	19	991
301	4	20	1148
302	4	21	974
303	4	22	1096
304	4	23	1034
305	4	24	780
306	4	26	1127
307	4	27	1096
308	4	28	1065
309	4	29	1115
310	4	30	973
311	4	31	984
312	4	32	1067
313	4	33	745
314	4	34	826
315	4	35	1092
316	4	37	1298
317	4	38	1047
