# VBA tblmatchdetail data
# Paste data below:

MatchDetailID	MatchNo	Player1	Player2	HomeScore	AwayScore	HomeVoid	AwayVoid	FrameNo	Achived8Ball
837	5	21	103	1	0	0	0	12	0
838	5	106	105	0	1	0	0	13	0
839	5	20	103	1	0	0	0	14	0
840	5	19	104	1	0	0	0	15	0
841	6	28	15	0	1	0	0	1	0
842	6	9	14	0	1	0	0	2	0
843	6	7	32	0	1	0	0	3	0
844	6	61	27	0	1	0	0	4	0
845	6	28	16	1	0	0	0	5	0
846	6	6	27	0	1	0	0	6	0
847	6	9	15	1	0	0	0	7	0
848	6	7	16	0	1	0	0	8	0
849	6	28	14	1	0	0	0	9	0
850	6	61	32	1	0	0	0	10	0
851	6	6	16	0	1	0	0	11	0
852	6	7	27	1	0	0	0	12	0
853	6	61	15	1	0	0	0	13	0
854	6	9	32	0	1	0	0	14	0
855	6	6	14	1	0	0	0	15	0
856	7	43	78	0	1	0	0	1	0
857	7	58	85	0	1	0	0	2	0
858	7	44	81	0	1	0	0	3	0
859	7	99	78	1	0	0	0	4	0
860	7	59	87	1	0	0	0	5	0
861	7	43	77	1	0	0	0	6	0
862	7	58	80	0	1	0	0	7	0
863	7	44	85	1	0	0	0	8	0
864	7	99	81	1	0	0	0	9	0
865	7	59	78	1	0	0	0	10	-1
866	7	43	87	1	0	0	0	11	0
867	7	58	78	1	0	0	0	12	0
868	7	44	80	1	0	0	0	13	0
869	7	99	77	1	0	0	0	14	0
870	7	59	81	1	0	0	0	15	0
871	8	102	39	0	1	0	0	1	0
872	8	102	46	0	1	0	0	2	0
873	8	103	72	0	1	0	0	3	0
874	8	10	60	0	1	0	0	4	0
875	8	102	72	0	1	0	0	5	0
876	8	10	68	0	1	0	0	6	0
877	8	103	46	0	1	0	0	7	0
878	8	107	46	0	1	0	0	8	0
879	8	107	72	0	1	0	0	9	0
880	8	10	39	0	1	0	0	10	0
881	8	103	60	0	1	0	0	11	0
882	8	107	68	0	1	0	0	12	0
883	8	0	0	0	1	0	0	13	0
884	8	0	0	0	1	0	0	14	0
885	8	0	0	0	1	0	0	15	0
886	9	89	9	0	1	0	0	1	0
887	9	65	7	0	1	0	0	2	0
888	9	23	28	0	1	0	0	3	0
889	9	66	6	0	1	0	0	4	0
890	9	26	61	1	0	0	0	5	0
891	9	34	7	0	1	0	0	6	0
892	9	65	28	1	0	0	0	7	0
893	9	23	9	1	0	0	0	8	0
894	9	66	61	0	1	0	0	9	0
895	9	89	6	0	1	0	0	10	0
896	9	26	28	0	1	0	0	11	0
897	9	65	61	0	1	0	0	12	0
898	9	34	9	0	1	0	0	13	0
899	9	89	7	1	0	0	0	14	0
900	9	23	6	0	1	0	0	15	0
901	10	49	93	0	1	0	0	1	0
902	10	42	95	1	0	0	0	2	0
903	10	41	97	1	0	0	0	3	0
904	10	51	108	0	1	0	0	4	0
905	10	40	53	1	0	0	0	5	0
906	10	49	95	0	1	0	0	6	0
907	10	42	93	0	1	0	0	7	0
908	10	41	108	1	0	0	0	8	0
909	10	51	53	1	0	0	0	9	0
910	10	40	97	0	1	0	0	10	0
911	10	49	97	1	0	0	0	11	0
912	10	42	53	0	1	0	0	12	0
913	10	41	93	0	1	0	0	13	0
914	10	51	95	1	0	0	0	14	0
915	10	40	108	1	0	0	0	15	0
916	11	14	29	0	1	0	0	1	0
917	11	18	11	0	1	0	0	2	0
918	11	15	29	0	1	0	0	3	0
919	11	17	12	0	1	0	0	4	0
920	11	27	30	0	1	0	0	5	0
921	11	16	31	0	1	0	0	6	0
922	11	14	13	0	1	0	0	7	0
923	11	18	101	0	1	0	0	8	0
924	11	15	11	0	1	0	0	9	0
925	11	17	30	1	0	0	0	10	0
926	11	27	12	1	0	0	0	11	0
927	11	16	101	0	1	0	0	12	0
928	11	17	31	0	1	0	0	13	0
929	11	18	13	0	1	0	0	14	0
930	11	14	11	0	1	0	0	15	0
931	12	2	83	0	1	0	0	1	0
