# VBA tblplayerresult data
# Paste data below:

PlayerResultID	MatchNo	FrameNo	PlayerID	Played	Result	EightBall	OppRating	PlayerRating	WeekNo
348	12	9	62	4	-1	0	1100	1375	2
349	12	10	3	38	0	0	1000	750	2
350	12	10	38	3	-1	0	764	955	2
351	12	11	2	35	0	0	1000	750	2
352	12	11	35	2	-1	0	931	1164	2
353	12	12	1	48	-1	0	1000	1250	2
354	12	12	48	1	0	0	1000	750	2
355	12	13	63	88	0	0	1000	750	2
356	12	13	88	63	-1	0	1106	1382	2
357	12	14	4	54	0	0	1000	750	2
358	12	14	54	4	-1	0	1100	1375	2
359	12	15	3	37	0	0	1000	750	2
360	12	15	37	3	-1	0	764	955	2
361	13	1	38	43	0	0	964	723	3
362	13	1	43	38	-1	0	1188	1485	3
363	13	2	83	45	0	0	999	749	3
364	13	2	45	83	-1	0	1014	1268	3
365	13	3	48	47	0	0	1000	750	3
366	13	3	47	48	-1	0	674	842	3
367	13	4	37	59	-1	0	1103	1379	3
368	13	4	59	37	0	0	972	729	3
369	13	5	35	44	-1	0	1062	1328	3
370	13	5	44	35	0	0	1292	969	3
371	13	6	62	58	0	0	949	712	3
372	13	6	58	62	-1	0	1085	1356	3
373	13	7	38	45	-1	0	999	1249	3
374	13	7	45	38	0	0	1188	891	3
375	13	8	83	43	-1	0	964	1205	3
376	13	8	43	83	0	0	1014	760	3
377	13	9	48	59	0	0	1103	827	3
378	13	9	59	48	-1	0	674	842	3
379	13	10	35	47	0	0	1000	750	3
380	13	10	47	35	-1	0	1292	1615	3
381	13	11	37	44	-1	0	1062	1328	3
382	13	11	44	37	0	0	972	729	3
383	13	12	62	45	-1	0	999	1249	3
384	13	12	45	62	0	0	1085	814	3
385	13	13	83	58	0	0	949	712	3
386	13	13	58	83	-1	0	1014	1268	3
387	13	14	38	47	0	0	1000	750	3
388	13	14	47	38	-1	0	1188	1485	3
389	13	15	48	58	0	0	949	712	3
390	13	15	58	48	-1	0	674	842	3
391	14	1	93	15	0	0	910	682	3
392	14	1	15	93	-1	0	1285	1606	3
393	14	2	95	27	0	0	1068	801	3
394	14	2	27	95	-1	0	968	1210	3
395	14	3	96	32	-1	0	1076	1345	3
396	14	3	32	96	0	0	842	632	3
397	14	4	97	17	-1	0	916	1145	3
398	14	4	17	97	0	0	1093	820	3
399	14	5	75	14	-1	0	842	1052	3
400	14	5	14	75	0	0	934	700	3
401	14	6	53	18	-1	0	797	996	3
402	14	6	18	53	0	0	1000	750	3
403	14	7	93	27	-1	0	1068	1335	3
404	14	7	27	93	0	0	1285	964	3
405	14	8	96	15	0	0	910	682	3
406	14	8	15	96	-1	0	842	1052	3
